Allspeed^1,Allspeed^2,Allspeed^3,Horspeed^1,Horspeed^2,Horspeed^3,VelForwardHand^1,VelForwardHand^2,VelForwardHand^3,VelForwardHead^1,VelForwardHead^2,VelForwardHead^3,HandHeadAngle^1,HandHeadAngle^2,HandHeadAngle^3,VertHandDist^1,VertHandDist^2,VertHandDist^3,HorHandDist^1,HorHandDist^2,HorHandDist^3,HandForwardHead^1,HandForwardHead^2,HandForwardHead^3,HandForward^1,HandForward^2,HandForward^3,States
0.9331841,0.8708326,0.812647,0.9250743,0.8557624,0.7916438,42.58477,1813.462,77225.87,101.644,10331.49,1050134,180.6635,32639.31,5896733,0.2422855,0.05870226,0.01422271,0.5352045,0.2864439,0.1533061,127.8338,16341.47,2088992,31.58467,997.5912,31508.59,0
0.9198298,0.8460869,0.7782559,0.9071527,0.822926,0.7465196,38.57609,1488.115,57405.64,105.2205,11071.36,1164935,182.116,33166.24,6040102,0.2388613,0.05705473,0.01362817,0.5313882,0.2823735,0.1500499,127.7413,16317.84,2084463,32.8044,1076.129,35301.75,0
0.8791522,0.7729087,0.6795044,0.8589938,0.7378703,0.633826,34.35376,1180.181,40543.65,109.1822,11920.76,1301535,183.6284,33719.38,6191836,0.2360446,0.05571707,0.01315172,0.5271463,0.2778833,0.1464851,127.5086,16258.45,2073093,34.01744,1157.186,39364.5,0
0.8703369,0.7574864,0.6592684,0.8586811,0.7373332,0.6331341,36.2198,1311.874,47515.79,110.7002,12254.53,1356579,185.0984,34261.43,6341737,0.2341282,0.05481603,0.01283398,0.523237,0.2737769,0.1432502,127.5173,16260.67,2073516,34.90757,1218.539,42536.23,0
0.8540131,0.7293385,0.6228646,0.8469414,0.7173097,0.6075192,36.83925,1357.13,49995.68,111.9993,12543.85,1404903,186.5935,34817.14,6496652,0.2323897,0.05400497,0.0125502,0.5191551,0.2695221,0.1399238,127.6656,16298.52,2080761,35.76399,1279.063,45744.41,0
0.8678242,0.7531188,0.6535748,0.8600577,0.7396992,0.636184,34.99275,1224.492,42848.36,113.595,12903.82,1465809,188.1313,35393.38,6658601,0.2302678,0.05302324,0.01220954,0.5150813,0.2653087,0.1366556,127.838,16342.55,2089199,36.69621,1346.611,49415.53,0
0.878269,0.7713563,0.6774583,0.8704805,0.7577363,0.6595946,33.47185,1120.365,37500.68,114.1081,13020.66,1485764,189.7037,35987.5,6826961,0.2284987,0.05221165,0.0119303,0.5113995,0.2615294,0.133746,127.7699,16325.13,2085860,37.99246,1443.427,54839.35,0
0.8693455,0.7557617,0.6570181,0.8629116,0.7446165,0.6425382,32.59436,1062.392,34627.98,114.7899,13176.72,1512554,191.2498,36576.48,6995244,0.226748,0.05141465,0.01165817,0.507797,0.2578578,0.1309394,127.6752,16300.96,2081228,39.39636,1552.073,61146.03,0
0.8509142,0.7240549,0.6161086,0.8472666,0.7178606,0.6082193,32.99224,1088.488,35911.64,116.5088,13574.29,1581524,192.7825,37165.11,7164783,0.2258759,0.0510199,0.01152416,0.5041195,0.2541364,0.1281151,127.5855,16278.05,2076843,40.68153,1654.987,67327.41,0
0.8354377,0.6979561,0.5830988,0.8341496,0.6958055,0.580406,33.93491,1151.578,39078.71,118.0513,13936.11,1645175,194.3013,37753.01,7335461,0.2252018,0.05071587,0.01142131,0.500543,0.2505433,0.1254077,127.7216,16312.8,2083497,41.74644,1742.766,72754.27,0
0.8280126,0.6856049,0.5676894,0.8267841,0.683572,0.5651665,32.75957,1073.19,35157.24,119.6028,14304.83,1710897,195.8287,38348.89,7509816,0.2243726,0.05034307,0.01129561,0.4969135,0.246923,0.1226994,127.7653,16323.98,2085639,42.91704,1841.872,79047.7,0
